240,Pepperdine,31,18,13,.581,2.90,2.00,10,8,10,3,6,7,2277,2208,,1260,813,1796,.453,154,446,.345,497,735,.676,339,1143,442,179,87,346,577
241,Pittsburgh,32,21,11,.656,15.73,8.66,9,9,15,4,3,6,2433,2173,,1290,860,1871,.460,201,578,.348,512,679,.754,410,1221,541,159,118,373,562
242,Portland State,31,13,18,.419,-7.97,-5.76,8,10,8,6,4,11,2408,2409,,1240,908,1904,.477,167,519,.322,425,645,.659,329,1096,527,263,112,392,589
243,Portland,32,12,20,.375,-2.09,0.69,6,12,8,7,3,9,2483,2552,,1285,868,2012,.431,289,787,.367,458,633,.724,369,1130,425,208,128,389,697
244,Prairie View,31,7,24,.226,-17.14,-6.52,7,11,4,6,3,16,1873,2202,,1240,657,1727,.380,127,467,.272,432,630,.686,355,998,269,239,84,462,691
245,Presbyterian,31,11,20,.355,-13.02,-4.63,5,13,7,8,3,11,2093,2259,,1245,754,1743,.433,148,502,.295,437,615,.711,298,1047,350,206,60,430,595
246,Princeton,28,22,6,.786,7.34,-2.07,12,2,13,0,9,5,2213,1903,,1130,771,1653,.466,271,697,.389,400,566,.707,279,1033,419,199,100,317,478
247,Providence,33,23,10,.697,11.87,7.63,10,8,13,4,7,4,2441,2301,,1335,833,1974,.422,234,729,.321,541,744,.727,385,1208,525,219,119,385,556
248,Purdue,33,26,7,.788,21.06,7.39,12,6,17,1,5,5,2581,2130,,1325,913,1925,.474,256,688,.372,499,674,.740,390,1360,588,141,154,396,570
249,Quinnipiac,30,9,21,.300,-9.96,-4.56,6,14,6,8,3,11,1969,2131,,1215,698,1897,.368,229,671,.341,344,532,.647,495,1299,377,146,141,458,611
250,Radford,31,16,15,.516,-4.80,-3.08,9,9,8,6,7,7,2266,2248,,1270,844,1885,.448,226,658,.343,352,541,.651,408,1173,410,183,138,411,580
251,Rhode Island,32,17,15,.531,8.09,3.46,9,9,13,4,3,9,2220,2072,,1295,782,1762,.444,213,584,.365,443,662,.669,335,1118,391,170,159,369,606
252,Rice,32,12,20,.375,-8.64,-2.54,7,11,9,8,3,11,2427,2576,,1285,813,1798,.452,228,716,.318,573,773,.741,295,1051,419,205,89,418,562
253,Richmond,32,16,16,.500,7.49,4.77,7,11,9,7,5,7,2450,2363,,1295,890,1848,.482,240,674,.356,430,652,.660,251,1021,531,210,74,327,610
